,income,annual_mileage,vehicle_age_approx,ev_experience_score,charging_access_index,adoption_readiness_score,is_ev
income,1.0,-0.03652478997056302,-0.028578689871960213,-0.06132350860837625,-0.00427461769754745,0.719319319014107,0.15465252002739158
annual_mileage,-0.03652478997056302,1.0,-0.12111780719594849,0.004420758415346335,0.00992450213232934,-0.029515316551383026,0.02991644581199523
vehicle_age_approx,-0.028578689871960213,-0.12111780719594849,1.0,0.151466560104939,-0.02286691644050593,-0.00894232819043347,-0.1539434100903712
ev_experience_score,-0.06132350860837625,0.004420758415346335,0.151466560104939,1.0,-0.12772864633484943,0.10050491155884503,-0.06593198617199256
charging_access_index,-0.00427461769754745,0.00992450213232934,-0.02286691644050593,-0.12772864633484943,1.0,0.4575828734180993,-0.13843620670904894
adoption_readiness_score,0.719319319014107,-0.029515316551383026,-0.00894232819043347,0.10050491155884503,0.4575828734180993,1.0,0.07896793406184521
is_ev,0.15465252002739158,0.02991644581199523,-0.1539434100903712,-0.06593198617199256,-0.13843620670904894,0.07896793406184521,1.0
