Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC
Logistic Regression,0.8898458748866727,0.5347432024169184,0.6654135338345865,0.592964824120603,0.88372412991241
Random Forest,0.8109700815956482,0.3784219001610306,0.8834586466165414,0.5298759864712514,0.9090051158824897
XGBoost,0.9596554850407978,0.8127208480565371,0.8646616541353384,0.8378870673952641,0.97561041779707
LightGBM,0.9592021758839528,0.803448275862069,0.8759398496240601,0.8381294964028777,0.9749418649717078
